18-10-2015 12:52:04 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:04 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:04 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:04 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:04 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0015D)
18-10-2015 12:52:06 infiSTAR.de | Cannon(76561198027365826) | HealRepairNear (v0015D)
18-10-2015 12:52:09 infiSTAR.de | Ford(76561198068372718) | Teleport to [3111.46,9367.71,0](GPS: 031868) (v0015D)
18-10-2015 12:52:14 infiSTAR.de | Optima(76561198052079567) | HealRepairNear (v0015D)
18-10-2015 12:53:39 infiSTAR.de | Cannon(76561198027365826) | Remove Gear - R Bravo 2-3:1 (Optima) REMOTE(76561198052079567) (v0015D)
18-10-2015 12:54:09 infiSTAR.de | Cannon(76561198027365826) | Teleport to [8217.17,4254.89,0](GPS: 082817) (v0015D)
18-10-2015 12:54:14 infiSTAR.de | Ford(76561198068372718) | Teleport to [8207.12,4254.88,0](GPS: 082817) (v0015D)
18-10-2015 12:54:24 infiSTAR.de | Optima(76561198052079567) | Teleport to [8178.19,4275.43,0](GPS: 081817) (v0015D)
18-10-2015 12:55:21 infiSTAR.de | Ford(76561198068372718) | FastFire - 1 (v0015D)
18-10-2015 12:55:57 infiSTAR.de | Ford(76561198068372718) | FastFire - 0 (v0015D)
18-10-2015 12:55:58 infiSTAR.de | Ford(76561198068372718) | noRecoil - 0 (v0015D)
18-10-2015 12:55:58 infiSTAR.de | Ford(76561198068372718) | UnlimAmmo - 0 (v0015D)
18-10-2015 12:56:29 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @082817.. (v0015D)
18-10-2015 12:56:31 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @082817.. (v0015D)
18-10-2015 12:56:38 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @082817.. (v0015D)
18-10-2015 12:56:54 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS (CUP_launch_MAAWS_Scope) on the ground infront of Optima! (v0015D)
18-10-2015 12:56:54 infiSTAR.de | Optima(76561198052079567) | spawning MAAWS (CUP_launch_MAAWS_Scope) (v0015D)
18-10-2015 12:56:59 infiSTAR.de | Ford(76561198068372718) | Teleport to [6521.8,3901.03,0](GPS: 065813) (v0015D)
18-10-2015 12:57:04 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0015D)
18-10-2015 12:57:11 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0015D)
18-10-2015 12:57:26 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @082817.. (v0015D)
18-10-2015 12:57:33 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0015D)
18-10-2015 12:57:43 infiSTAR.de | Ford(76561198068372718) | Teleport to [7333.78,3547.06,0](GPS: 073810) (v0015D)
18-10-2015 12:57:48 infiSTAR.de | Ford(76561198068372718) | Teleport to [7264.05,3687.49,0](GPS: 072811) (v0015D)
18-10-2015 12:57:53 infiSTAR.de | Ford(76561198068372718) | Teleport to [8166.56,4281.65,0](GPS: 081817) (v0015D)
18-10-2015 12:58:57 infiSTAR.de | Optima(76561198052079567) | Spawn Support-Box4 (v0015D)
18-10-2015 12:58:59 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEAT rocket (CUP_MAAWS_HEAT_M) on Optima! (v0015D)
18-10-2015 12:58:59 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEAT rocket (CUP_MAAWS_HEAT_M) on Optima! (v0015D)
18-10-2015 12:59:00 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEAT rocket (CUP_MAAWS_HEAT_M) on Optima! (v0015D)
18-10-2015 12:59:40 infiSTAR.de | Optima(76561198052079567) | spawning BMP-1K (rhs_bmp1k_vdv) (v0015D)
18-10-2015 13:00:25 infiSTAR.de | Optima(76561198052079567) | Spawn Support-Box4 (v0015D)
