18-10-2015 15:58:02 infiSTAR.de | 1h 30min 9s | SniperMan(76561198094861860) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.78035|SERVERTHREADS: 44] (v0015D)
18-10-2015 15:59:42 infiSTAR.de | 1h 31min 2s | Bogus(76561198063285748) | Too many Threads running on Client! 52 (KICKED) [FPS: 5.56522|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:02:22 infiSTAR.de | 1h 32min 26s | steve assad(76561198077180198) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.20664|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:04:26 infiSTAR.de | 1h 33min 37s | Bogus(76561198063285748) | Too many Threads running on Client! 54 (KICKED) [FPS: 5.38721|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:06:05 infiSTAR.de | 1h 34min 34s | Ace(76561198066231326) | Too many Threads running on Client! 52 (KICKED) [FPS: 5.99027|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:06:27 infiSTAR.de | 1h 34min 46s | Noleski(76561198052267148) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.99027|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:07:55 infiSTAR.de | 1h 35min 36s | |SGs| Jonty Fox(76561198116106029) | Too many Threads running on Client! 51 (KICKED) [FPS: 6.44641|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:07:57 infiSTAR.de | 1h 35min 37s | Vigren(76561198129765433) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.57297|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:09:08 infiSTAR.de | 1h 36min 16s | Vigren(76561198129765433) | Too many Threads running on Client! 51 (KICKED) [FPS: 4.99688|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:09:57 infiSTAR.de | 1h 36min 42s | Tekkiteer(76561198075381705) | Too many Threads running on Client! 51 (KICKED) [FPS: 4.8529|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:11:00 infiSTAR.de | 1h 37min 18s | Ace(76561198066231326) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.99027|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:11:58 infiSTAR.de | 1h 37min 52s | Daniel(76561198232005768) | Too many Threads running on Client! 52 (KICKED) [FPS: 7.13649|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:13:29 infiSTAR.de | 1h 38min 46s | Bogus(76561198063285748) | Too many Threads running on Client! 51 (KICKED) [FPS: 5.08906|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:14:15 infiSTAR.de | 1h 39min 14s | Pandaz(76561198228523912) | Too many Threads running on Client! 52 (KICKED) [FPS: 5.82666|SERVERTHREADS: 44] (v0015D)
18-10-2015 16:14:16 infiSTAR.de | 1h 39min 14s | Ace(76561198066231326) | Too many Threads running on Client! 52 (KICKED) [FPS: 4.85584|SERVERTHREADS: 44] (v0015D)
