20-01-2016 11:00:03 infiSTAR.de | 2h 25min 39s | Arnaldo Prado(76561198019254410) | POTENTIAL-TP-REVERTED#1: Moved 39m in 0.527008s (from [12190,19102.9,927.086] to [12194.8,19063.9,965.296]). TopSpeed of Exile_Unit_Player is 24 speed was 268.438. Player FPS: 9.63855. Alive for 17.407s -  [FPS: 19.1388|SERVERTHREADS: 36] (v0027A)
20-01-2016 11:16:08 infiSTAR.de | 2h 41min 35s | [T.G] Mad Mads(76561198081782021) | POTENTIAL-TP-REVERTED#1: Moved 61m in 0.292969s (from [19149,19049,14.6055] to [19210.4,19052.9,10.6376]). TopSpeed of CUP_O_UAZ_Unarmed_TKA is 120 speed was 755.7. Player FPS: 29.4659. Alive for 8805.49s -  [FPS: 14.1343|SERVERTHREADS: 36] (v0027A)
20-01-2016 11:16:08 infiSTAR.de | 2h 41min 36s | [T.G] Mad Mads(76561198081782021) | POTENTIAL-TP-REVERTED#1: Moved 86m in 0.262695s (from [19234.6,19055,8.47729] to [19149.1,19049,14.5295]). TopSpeed of CUP_O_UAZ_Unarmed_TKA is 120 speed was 1174.88. Player FPS: 23.9521. Alive for 8806.28s -  [FPS: 13.8408|SERVERTHREADS: 36] (v0027A)
20-01-2016 11:16:10 infiSTAR.de | 2h 41min 38s | [T.G] Mad Mads(76561198081782021) | POTENTIAL-TP-REVERTED#1: Moved 86m in 0.264648s (from [19149.1,19049,12.0306] to [19234.6,19055,8.19146]). TopSpeed of CUP_O_UAZ_Unarmed_TKA is 120 speed was 1166.45. Player FPS: 27.972. Alive for 8807.9s -  [FPS: 12.5|SERVERTHREADS: 36] (v0027A)
20-01-2016 19:01:53 infiSTAR.de | 1h 21min 19s | Mr.Jim Slade (76561198083368462) | POTENTIAL-TP-REVERTED#1: Moved 33m in 0.223999s (from [12893.6,18647.6,994.072] to [12861.8,18655.1,998.588]). TopSpeed of Exile_Unit_Player is 24 speed was 525.171. Player FPS: 14.5455. Alive for 640.425s -  [FPS: 7.60095|SERVERTHREADS: 37] (v0027A)
20-01-2016 19:13:41 infiSTAR.de | 1h 30min 56s | Luke(76561197990449590) | POTENTIAL-TP-REVERTED#1: Moved 35m in 0.263s (from [2713.24,3358.81,994.068] to [2678.33,3360.85,997.346]). TopSpeed of Exile_Unit_Player is 24 speed was 478.554. Player FPS: 41.9948. Alive for 37.037s -  [FPS: 7.45921|SERVERTHREADS: 37] (v0027A)
20-01-2016 19:51:37 infiSTAR.de | 2h 0min 25s | [T.G]Hesgard(76561198072139153) | POTENTIAL-TP-REVERTED#1: Moved 2089m in 0.257935s (from [18543,16326.6,-0.0397987] to [16962.2,14961.5,998.449]). TopSpeed of Exile_Unit_Player is 24 speed was 29151.3. Player FPS: 19.1388. Alive for 606.978s -  [FPS: 7.36988|SERVERTHREADS: 36] (v0027A)
20-01-2016 19:52:57 infiSTAR.de | 2h 1min 21s | Cade Roger(76561198202874878) | POTENTIAL-TP-REVERTED#1: Moved 63m in 0.257019s (from [14803.9,5608.87,901.547] to [14849.7,5566.23,973.463]). TopSpeed of Exile_Unit_Player is 24 speed was 876.458. Player FPS: 58.1818. Alive for 30.162s -  [FPS: 6.58165|SERVERTHREADS: 36] (v0027A)
20-01-2016 20:01:53 infiSTAR.de | 2h 7min 40s | Biscuits(76561198010916084) | POTENTIAL-TP-REVERTED#1: Moved 60m in 0.328125s (from [16793.8,9567.65,226.138] to [16817.8,9622.98,230.813]). TopSpeed of Exile_Car_Van_Guerilla01 is 115 speed was 661.872. Player FPS: 24.8062. Alive for 2727.21s -  [FPS: 6.4257|SERVERTHREADS: 36] (v0027A)
20-01-2016 20:01:54 infiSTAR.de | 2h 7min 41s | Biscuits(76561198010916084) | POTENTIAL-TP-REVERTED#1: Moved 140m in 0.25s (from [16849.7,9695.59,232.977] to [16793.8,9567.75,225.918]). TopSpeed of Exile_Car_Van_Guerilla01 is 115 speed was 2009.63. Player FPS: 20.3304. Alive for 2728.12s -  [FPS: 6.32661|SERVERTHREADS: 36] (v0027A)
20-01-2016 20:01:54 infiSTAR.de | 2h 7min 41s | Biscuits(76561198010916084) | POTENTIAL-TP-REVERTED#1: Moved 140m in 0.281006s (from [16793.8,9567.75,225.218] to [16849.7,9695.69,232.852]). TopSpeed of Exile_Car_Van_Guerilla01 is 115 speed was 1788.98. Player FPS: 21.2202. Alive for 2728.68s -  [FPS: 6.24025|SERVERTHREADS: 36] (v0027A)
