27-01-2016 14:02:07 infiSTAR.de | 0h 47min 28s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18002.7,19707.2,2.22352] [FPS: 12.1029|SERVERTHREADS: 37] (v0029)
27-01-2016 14:02:26 infiSTAR.de | 0h 47min 46s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 11.2045|SERVERTHREADS: 37] (v0029)
27-01-2016 14:02:38 infiSTAR.de | 0h 47min 59s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17998.9,19705.8,2.12569] [FPS: 11.6874|SERVERTHREADS: 37] (v0029)
27-01-2016 14:02:52 infiSTAR.de | 0h 48min 13s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 10.4371|SERVERTHREADS: 38] (v0029)
27-01-2016 14:03:02 infiSTAR.de | 0h 48min 23s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.4286|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:11 infiSTAR.de | 0h 48min 32s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.3074|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:16 infiSTAR.de | 0h 48min 36s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.5942|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:26 infiSTAR.de | 0h 48min 46s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.6618|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:36 infiSTAR.de | 0h 48min 56s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.1421|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:39 infiSTAR.de | 0h 48min 58s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 9.17431|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:46 infiSTAR.de | 0h 49min 6s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.0301|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:52 infiSTAR.de | 0h 49min 12s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.3457|SERVERTHREADS: 37] (v0029)
27-01-2016 14:03:56 infiSTAR.de | 0h 49min 15s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.2439|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:04 infiSTAR.de | 0h 49min 24s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.0937|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:15 infiSTAR.de | 0h 49min 34s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.088|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:20 infiSTAR.de | 0h 49min 39s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 10.1138|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:24 infiSTAR.de | 0h 49min 43s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.6683|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:29 infiSTAR.de | 0h 49min 48s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.3172|SERVERTHREADS: 37] (v0029)
