15-01-2016 22:04:35 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0027C)
15-01-2016 22:04:36 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0027C)
15-01-2016 22:07:27 infiSTAR.de | Falcon911(76561197974470549) | noRecoil - 1 (v0027C)
15-01-2016 22:08:58 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Cameron [GUER](76561198124471146) (v0027C)
15-01-2016 22:09:10 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - Cameron [GUER](76561198124471146) (v0027C)
15-01-2016 22:09:10 infiSTAR.de | Falcon911(76561197974470549) | Teleported Cameron(76561198124471146) from [9072.29,3988.49,7.90683](090142) to [9072.29,3988.49,7.90683](090142)  (0m) (v0027C)
15-01-2016 22:09:16 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2589.33,4101.01,0](GPS: 025143) (v0027C)
15-01-2016 22:09:27 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Respect - Double A. [GUER (R SHGaming)](76561198069335401) (v0027C)
15-01-2016 22:10:16 infiSTAR.de | Falcon911(76561197974470549) | spawning RHIB (CUP_B_RHIB_USMC) (v0027C)
15-01-2016 22:11:55 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 22:13:37 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0027C)
15-01-2016 22:13:38 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0027C)
15-01-2016 22:14:12 infiSTAR.de | Double A.(76561198069335401) | Teleport to [3938.46,4421.98,0](GPS: 039146) (v0027C)
15-01-2016 22:14:21 infiSTAR.de | Double A.(76561198069335401) | Teleport to [4593.52,4419.78,0](GPS: 045146) (v0027C)
15-01-2016 22:14:27 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0027C)
15-01-2016 22:14:28 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0027C)
15-01-2016 22:15:24 infiSTAR.de | Double A.(76561198069335401) | Teleport to [4548.05,4449.94,0](GPS: 045146) (v0027C)
15-01-2016 22:16:26 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0027C)
15-01-2016 22:16:26 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0027C)
15-01-2016 22:16:35 infiSTAR.de | Double A.(76561198069335401) | Teleport to [4710.69,4544.38,0](GPS: 047147) (v0027C)
15-01-2016 22:16:40 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 1 (v0027C)
15-01-2016 22:16:41 infiSTAR.de | Double A.(76561198069335401) | God Mode - 0 (v0027C)
15-01-2016 22:16:42 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 0 (v0027C)
15-01-2016 22:16:43 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0027C)
15-01-2016 22:17:13 infiSTAR.de | Double A.(76561198069335401) | SPECTATE - switchedCamera on Luke(76561197990449590) (v0027C)
15-01-2016 22:18:54 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 22:19:10 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 0 (v0027C)
15-01-2016 22:19:12 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 0 (v0027C)
15-01-2016 22:20:16 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [4591.72,4482.11,0](GPS: 045147) (v0027C)
15-01-2016 22:21:00 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0027C)
15-01-2016 22:22:10 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [19441.5,19204.1,0](GPS: 194294) (v0027C)
15-01-2016 22:22:12 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0027C)
15-01-2016 22:22:17 infiSTAR.de | Falcon911(76561197974470549) | Deleting Double A.(76561198069335401) vehicle: CUP_B_RHIB_USMC @194294.. (v0027C)
15-01-2016 22:22:26 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_RHIB_USMC @194294.. (v0027C)
15-01-2016 22:23:03 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [19129.4,18523.1,0](GPS: 191287) (v0027C)
15-01-2016 22:23:12 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19128,18492.7,0](GPS: 191287) (v0027C)
15-01-2016 22:23:18 infiSTAR.de | Falcon911(76561197974470549) | spawning Ifrit (Exile_Car_Ifrit) (v0027C)
15-01-2016 22:23:40 infiSTAR.de | Double A.(76561198069335401) | spawning Strider (Exile_Car_Strider) (v0027C)
15-01-2016 22:24:23 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0027C)
15-01-2016 22:25:53 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Car_SUVXL_Black @181288.. (v0027C)
15-01-2016 22:26:02 infiSTAR.de | Double A.(76561198069335401) | HealRepairNear (v0027C)
15-01-2016 22:26:25 infiSTAR.de | Falcon911(76561197974470549) | Vehboost - 1 (v0027C)
15-01-2016 22:27:07 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Brotha Grimm [GUER (R Brotha Grimm's Party)](76561198161195934) (v0027C)
15-01-2016 22:27:18 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - Brotha Grimm [GUER (R Brotha Grimm's Party)](76561198161195934) (v0027C)
15-01-2016 22:27:19 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Car_Ifrit @126192.. (v0027C)
15-01-2016 22:27:41 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Me To Target - Brotha Grimm [GUER (R Brotha Grimm's Party)](76561198161195934) (v0027C)
15-01-2016 22:27:58 infiSTAR.de | Double A.(76561198069335401) | HealRepairNear (v0027C)
15-01-2016 22:28:09 infiSTAR.de | Double A.(76561198069335401) | Teleport to [12698,8973.19,14.4923](GPS: 126192) (v0027C)
15-01-2016 22:28:16 infiSTAR.de | Double A.(76561198069335401) | HealRepairNear (v0027C)
15-01-2016 22:28:25 infiSTAR.de | Double A.(76561198069335401) | Deleting Exile_Chopper_Hummingbird_Civillian_Wasp @126192.. (v0027C)
15-01-2016 22:28:30 infiSTAR.de | Falcon911(76561197974470549) | Deleting Exile_Car_Strider @125192.. (v0027C)
15-01-2016 22:28:38 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - Brotha Grimm [GUER (R Brotha Grimm's Party)](76561198161195934) (v0027C)
15-01-2016 22:28:39 infiSTAR.de | Falcon911(76561197974470549) | Teleported Brotha Grimm(76561198161195934) from [12598.9,9014.6,6.79987](125192) to [12598.9,9014.6,6.79987](125192)  (0m) (v0027C)
15-01-2016 22:28:49 infiSTAR.de | Double A.(76561198069335401) | spawning M-900 (Civillian) (Exile_Chopper_Hummingbird_Civillian_Wasp) (v0027C)
15-01-2016 22:28:54 infiSTAR.de | Falcon911(76561197974470549) | Teleport - Target To Me - Brotha Grimm [GUER (R Brotha Grimm's Party)](76561198161195934) (v0027C)
