25-01-2016 20:02:54 infiSTAR.de | 1h 28min 36s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.255859s (from [5756.07,12813.1,162.783] to [5834.3,12735.3,145.588]). TopSpeed of Steerable_Parachute_F is 300 speed was 1552.49. Player FPS: 17.8771. Alive for 5062.71s -  [FPS: 9.90099|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:54 infiSTAR.de | 1h 28min 36s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.260742s (from [5768.6,12800.2,153.274] to [5846.22,12723,148.675]). TopSpeed of Steerable_Parachute_F is 300 speed was 1511.85. Player FPS: 30.4183. Alive for 5063.01s -  [FPS: 9.98129|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:54 infiSTAR.de | 1h 28min 36s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 113m in 0.260742s (from [5790.99,12777.6,133.36] to [5872.2,12698.6,152.052]). TopSpeed of Steerable_Parachute_F is 300 speed was 1564.24. Player FPS: 30.0752. Alive for 5063.35s -  [FPS: 10.0883|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:55 infiSTAR.de | 1h 28min 37s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 111m in 0.260742s (from [5802.54,12766,132.246] to [5882.47,12689,154.812]). TopSpeed of Steerable_Parachute_F is 300 speed was 1532.89. Player FPS: 30.4762. Alive for 5063.65s -  [FPS: 10.101|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:55 infiSTAR.de | 1h 28min 37s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 114m in 0.263672s (from [5815.36,12753.3,139.276] to [5897.17,12674.3,156.388]). TopSpeed of Steerable_Parachute_F is 300 speed was 1552.13. Player FPS: 30.0188. Alive for 5063.95s -  [FPS: 9.92556|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:55 infiSTAR.de | 1h 28min 37s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 156m in 0.276367s (from [5840.04,12729,149.641] to [5996.47,12730.7,121.793]). TopSpeed of Steerable_Parachute_F is 300 speed was 2037.84. Player FPS: 28.9331. Alive for 5064.31s -  [FPS: 9.96264|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:55 infiSTAR.de | 1h 28min 38s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 120m in 0.256836s (from [5864.74,12732.9,145.789] to [5983.61,12716.9,119.38]). TopSpeed of Steerable_Parachute_F is 300 speed was 1681.18. Player FPS: 29.6296. Alive for 5064.61s -  [FPS: 9.88264|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:56 infiSTAR.de | 1h 28min 38s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 110m in 0.261719s (from [5955.09,12649.2,132.905] to [6037.9,12576.6,148.228]). TopSpeed of Steerable_Parachute_F is 300 speed was 1514.51. Player FPS: 30.5927. Alive for 5065.17s -  [FPS: 9.77398|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:56 infiSTAR.de | 1h 28min 38s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 105m in 0.246094s (from [5966.16,12638,135.364] to [6042.51,12566.6,169.151]). TopSpeed of Steerable_Parachute_F is 300 speed was 1529.86. Player FPS: 31.25. Alive for 5065.46s -  [FPS: 9.83405|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:57 infiSTAR.de | 1h 28min 39s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 130m in 0.303711s (from [5982.17,12623.2,141.476] to [6080.02,12537.5,181.395]). TopSpeed of Steerable_Parachute_F is 300 speed was 1541.14. Player FPS: 30.5344. Alive for 5065.81s -  [FPS: 10.0629|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:57 infiSTAR.de | 1h 28min 39s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 98m in 0.226563s (from [6011.35,12596.8,153.904] to [6081.85,12529.4,177.767]). TopSpeed of Steerable_Parachute_F is 300 speed was 1549.65. Player FPS: 27.1647. Alive for 5066.13s -  [FPS: 10.1266|SERVERTHREADS: 36] (v0029)
