13-01-2016 12:58:47 infiSTAR.de | Bayley(76561198037794465) | Heal - R Charlie 1-1:1 (Lannon Jerrett) REMOTE(76561198104372521) (v0027A)
13-01-2016 12:58:48 infiSTAR.de | Bayley(76561198037794465) | Heal - R Charlie 1-1:1 (Lannon Jerrett) REMOTE(76561198104372521) (v0027A)
13-01-2016 13:00:18 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 0 (v0027A)
13-01-2016 13:04:55 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Lannon Jerrett [GUER](76561198104372521) (v0027A)
13-01-2016 13:04:55 infiSTAR.de | Bayley(76561198037794465) | Teleported Lannon Jerrett(76561198104372521) from [17677.3,2698.24,0.00168705](176129) to [17677.3,2698.24,0.00168705](176129)  (0m) (v0027A)
13-01-2016 13:06:01 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 13:07:31 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - [SDW] Carpenter [GUER (R Adept)](76561198055869592) (v0027A)
13-01-2016 13:08:19 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
13-01-2016 13:08:19 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 13:08:29 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
13-01-2016 13:08:29 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 13:11:30 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 13:11:31 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
13-01-2016 13:11:33 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
13-01-2016 13:11:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:49 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:49 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:11:49 infiSTAR.de | Bayley(76561198037794465) | Spawning Duct Tape (Exile_Item_DuctTape) on the ground infront of Bayley! (v0027A)
13-01-2016 13:13:53 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Hills [GUER](76561198049958774) (v0027A)
13-01-2016 13:16:04 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - HardCharger [GUER](76561198008333668) (v0027A)
13-01-2016 13:16:31 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Window Kit (Exile_Item_WoodWindowKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:34 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:35 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:35 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:35 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:36 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:36 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:37 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:37 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:37 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:38 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:38 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:39 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:39 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:39 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Wall Kit (Exile_Item_WoodWallKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:41 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Doorway Kit (Exile_Item_WoodDoorwayKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:43 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Door Kit (Exile_Item_WoodDoorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:45 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Draw Bridge Kit (Exile_Item_WoodDrawBridgeKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:46 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
13-01-2016 13:16:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Wood Floor Kit (Exile_Item_WoodFloorKit) on the ground infront of Bayley! (v0027A)
