28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.48036|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.48036|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.43863|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.43863|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.41026|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:43 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.41026|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.4154|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.4154|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.40256|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.40256|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.41026|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.41026|SERVERTHREADS: 37] (v0029)
