19-01-2016 04:22:09 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_MountainBike @153159.. (v0027A)
19-01-2016 04:22:09 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_MountainBike @153159.. (v0027A)
19-01-2016 04:22:10 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Bike_MountainBike @153159.. (v0027A)
19-01-2016 04:22:23 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
19-01-2016 04:22:25 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 04:22:26 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [15347.8,5696.68,0.00175476](153159) to [15347.8,5696.68,0.00175476](153159)  (0m) (v0027A)
19-01-2016 04:27:17 infiSTAR.de | Bayley(76561198037794465) | Teleport to [9541.92,17065.6,0](GPS: 095273) (v0027A)
19-01-2016 04:28:33 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:28:35 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:28:38 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:29:00 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_M1A2_TUSK_MG_DES_USMC @092273.. (v0027A)
19-01-2016 04:29:17 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 04:29:17 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [12470.4,18579.4,0.00144958](124288) to [12470.4,18579.4,0.00144958](124288)  (0m) (v0027A)
19-01-2016 04:30:07 infiSTAR.de | Bayley(76561198037794465) | spawning UH-60M (FFV) (CUP_B_UH60M_FFV_US) (v0027A)
19-01-2016 04:34:29 infiSTAR.de | Bayley(76561198037794465) | Teleport to [17395.5,5219.49,8.07627](GPS: 173154) (v0027A)
19-01-2016 04:35:17 infiSTAR.de | Bayley(76561198037794465) | Heal - R Fortune Hunters:2 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 04:35:18 infiSTAR.de | Bayley(76561198037794465) | Heal - R Fortune Hunters:2 (Yolo Actual) REMOTE(76561198117366071) (v0027A)
19-01-2016 04:35:21 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Yolo Actual [GUER (R Fortune Hunters)](76561198117366071) (v0027A)
19-01-2016 04:35:21 infiSTAR.de | Bayley(76561198037794465) | Teleported Yolo Actual(76561198117366071) from [11415.3,14179.5,12.3498](114244) to [11415.3,14179.5,12.3498](114244)  (0m) (v0027A)
19-01-2016 04:35:33 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Graywood [GUER (R Fortune Hunters)](76561197990912707) (v0027A)
19-01-2016 04:35:33 infiSTAR.de | Bayley(76561198037794465) | Teleported Graywood(76561197990912707) from [11437.4,13800.3,0.0371017](114240) to [11437.4,13800.3,0.0371017](114240)  (0m) (v0027A)
19-01-2016 04:36:21 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Katana [GUER](76561197982462238) (v0027A)
19-01-2016 04:36:21 infiSTAR.de | Bayley(76561198037794465) | Teleported Katana(76561197982462238) from [10000.7,10422,0.0014267](100206) to [10000.7,10422,0.0014267](100206)  (0m) (v0027A)
19-01-2016 04:36:51 infiSTAR.de | Bayley(76561198037794465) | HealRepairNear (v0027A)
19-01-2016 04:36:51 infiSTAR.de | Bayley(76561198037794465) | HealSelf (v0027A)
19-01-2016 04:37:16 infiSTAR.de | Bayley(76561198037794465) | Teleport to [16626.2,4563.41,-0.0158386](GPS: 166148) (v0027A)
19-01-2016 04:37:38 infiSTAR.de | Bayley(76561198037794465) | Deleting CUP_B_UH60M_FFV_US @166148.. (v0027A)
19-01-2016 04:37:50 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Construction_WoodWall_Static @166147.. (v0027A)
19-01-2016 04:37:53 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Construction_WoodWall_Static @166147.. (v0027A)
19-01-2016 04:38:02 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Construction_WoodFloor_Static @166147.. (v0027A)
19-01-2016 04:38:04 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Construction_WoodFloor_Static @166147.. (v0027A)
