23-01-2016 01:42:20 infiSTAR.de | Double A.(76561198069335401) | Spawning Chemlight (Yellow) (Chemlight_yellow) on Double A.! (v0028)
23-01-2016 01:42:21 infiSTAR.de | Double A.(76561198069335401) | Spawning Chemlight (Blue) (Chemlight_blue) on Double A.! (v0028)
23-01-2016 01:42:57 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19597.3,19246.5,0](GPS: 195294) (v0028)
23-01-2016 01:43:54 infiSTAR.de | Double A.(76561198069335401) | spawning C-130J (CUP_B_C130J_USMC) (v0028)
23-01-2016 01:52:12 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_C130J_USMC @186291.. (v0028)
23-01-2016 01:52:19 infiSTAR.de | Double A.(76561198069335401) | Teleport to [3331.34,19316,0](GPS: 033295) (v0028)
23-01-2016 01:52:42 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Dead ESP - 1 (v0028)
23-01-2016 01:52:54 infiSTAR.de | Double A.(76561198069335401) | DeadPlayer Marker - 1 (v0028)
23-01-2016 01:52:55 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 0 (v0028)
23-01-2016 01:53:08 infiSTAR.de | Double A.(76561198069335401) | DeadPlayer Marker - 0 (v0028)
23-01-2016 01:53:10 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 0 (v0028)
23-01-2016 01:53:19 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0028)
23-01-2016 01:53:31 infiSTAR.de | Double A.(76561198069335401) | Teleport to [11499.3,19255.9,0](GPS: 114294) (v0028)
23-01-2016 01:53:39 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH60M_US @115294.. (v0028)
23-01-2016 01:54:08 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0028)
23-01-2016 01:54:09 infiSTAR.de | Double A.(76561198069335401) | Teleported Katana(76561197982462238) from [9391.27,19282.9,0.00140381](093295) to [9391.27,19282.9,0.00140381](093295)  (0m) (v0028)
23-01-2016 01:54:35 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0028)
23-01-2016 01:54:36 infiSTAR.de | Double A.(76561198069335401) | Teleported Katana(76561197982462238) from [11513.3,19228.3,-1.84529](115294) to [11513.3,19228.3,-1.84529](115294)  (0m) (v0028)
23-01-2016 01:54:51 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Deadhead [GUER (R Fortune Hunters)](76561198001914549) (v0028)
23-01-2016 01:54:58 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Mystic [GUER (R Fortune Hunters)](76561197999003538) (v0028)
23-01-2016 01:55:02 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0028)
23-01-2016 01:55:06 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Wyatt [GUER (R Fortune Hunters)](76561197970910981) (v0028)
23-01-2016 01:55:41 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0028)
23-01-2016 01:57:47 infiSTAR.de | Double A.(76561198069335401) | spawning UH-60M (FFV) (CUP_B_UH60M_FFV_US) (v0028)
23-01-2016 01:58:18 infiSTAR.de | Double A.(76561198069335401) | Teleport to [11455.5,19108.9,0.590866](GPS: 114293) (v0028)
23-01-2016 01:58:33 infiSTAR.de | Double A.(76561198069335401) | Teleport to [11459.9,19117.5,0.37249](GPS: 114293) (v0028)
23-01-2016 02:03:14 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH60M_FFV_US @195294.. (v0028)
23-01-2016 02:03:32 infiSTAR.de | Double A.(76561198069335401) | spawning UH-60L (CUP_B_UH60L_US) (v0028)
23-01-2016 02:03:49 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH60L_US @195294.. (v0028)
23-01-2016 02:04:02 infiSTAR.de | Double A.(76561198069335401) | spawning UH-60M (CUP_B_UH60M_US) (v0028)
23-01-2016 02:05:27 infiSTAR.de | Double A.(76561198069335401) | spawning Ka-50 Black Shark (AT) (CUP_O_Ka50_SLA) (v0028)
23-01-2016 02:08:03 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_O_Ka50_SLA @195294.. (v0028)
23-01-2016 02:08:24 infiSTAR.de | Double A.(76561198069335401) | spawning CH-53E Super Stallion (CUP_B_CH53E_USMC) (v0028)
23-01-2016 02:11:40 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_CH53E_USMC @193292.. (v0028)
23-01-2016 02:12:46 infiSTAR.de | Double A.(76561198069335401) | spawning AH-64D (CUP_B_AH64D_USA) (v0028)
23-01-2016 02:25:26 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Joseph [GUER (R Adept)](76561198044914903) (v0028)
23-01-2016 02:29:09 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Already DEAD [GUER (R Black Glove Squad)](76561197967349109) (v0028)
23-01-2016 02:32:08 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_AH64D_USA @186292.. (v0028)
23-01-2016 02:32:44 infiSTAR.de | Double A.(76561198069335401) | spawning UH-1Y Venom Gunship (CUP_B_UH1Y_GUNSHIP_USMC) (v0028)
23-01-2016 02:35:31 infiSTAR.de | Double A.(76561198069335401) | Kick (Silent) - R Adept:2 (YoungBull) REMOTE(76561198117288145) (v0028)
23-01-2016 02:37:29 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH1Y_GUNSHIP_USMC @195294.. (v0028)
23-01-2016 02:40:25 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Master Chief [GUER (R Black Glove Squad)](76561198056084440) (v0028)
23-01-2016 02:42:45 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_UH1Y_MEV_F @195294.. (v0028)
23-01-2016 02:45:11 infiSTAR.de | Double A.(76561198069335401) | Ban (Silent) - R Alpha 4-2:1 (YoungBull) REMOTE(76561198117288145) (v0028)
23-01-2016 02:52:51 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0028)
23-01-2016 02:52:52 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0028)
