25-01-2016 18:18:31 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @016185.. (v0029)
25-01-2016 18:19:28 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Leupold LR/T (hlc_optic_LRT_m14) on 7=Temp! (v0029)
25-01-2016 18:19:49 infiSTAR.de | 7=Temp(76561198133523234) | Deleting GroundWeaponHolder @016185.. (v0029)
25-01-2016 18:20:53 infiSTAR.de | 7=Temp(76561198133523234) | HealRepairNear (v0029)
25-01-2016 18:22:06 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_B_UH1Y_UNA_USMC @053191.. (v0029)
25-01-2016 18:22:08 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [20402.2,9237.66,0](GPS: 204194) (v0029)
25-01-2016 19:44:11 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR MapIcons - 1 (v0029)
25-01-2016 19:44:11 infiSTAR.de | 7=Temp(76561198133523234) | infiSTAR Player ESP - 1 (v0029)
25-01-2016 19:44:24 infiSTAR.de | 7=Temp(76561198133523234) | God Mode - 1 (v0029)
25-01-2016 19:44:25 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 1 (v0029)
25-01-2016 19:44:43 infiSTAR.de | 7=Temp(76561198133523234) | noRecoil - 1 (v0029)
25-01-2016 19:44:45 infiSTAR.de | 7=Temp(76561198133523234) | Lower Terrain - 1 (v0029)
25-01-2016 19:44:55 infiSTAR.de | 7=Temp(76561198133523234) | Teleport In Facing Direction (10m steps) - 1 (v0029)
25-01-2016 19:49:33 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [4952.22,10546.3,0](GPS: 049207) (v0029)
25-01-2016 19:51:24 infiSTAR.de | 7=Temp(76561198133523234) | UnlimAmmo - 1 (v0029)
25-01-2016 19:51:56 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [4941,9712.49,0](GPS: 049199) (v0029)
25-01-2016 19:55:41 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [9433.21,17453.4,0](GPS: 094276) (v0029)
25-01-2016 19:55:58 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [10452.2,16692.2,0](GPS: 104269) (v0029)
25-01-2016 19:58:23 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [16420.8,19157.5,0](GPS: 164293) (v0029)
25-01-2016 20:01:50 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [20412.7,9248.61,0](GPS: 204194) (v0029)
25-01-2016 20:47:47 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 20:47:52 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0029)
25-01-2016 20:47:53 infiSTAR.de | Bayley(76561198037794465) | God Mode - 0 (v0029)
25-01-2016 20:47:56 infiSTAR.de | Bayley(76561198037794465) | UnlimAmmo - 1 (v0029)
25-01-2016 20:47:57 infiSTAR.de | Bayley(76561198037794465) | noRecoil - 1 (v0029)
25-01-2016 20:47:59 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0029)
25-01-2016 20:48:12 infiSTAR.de | Bayley(76561198037794465) | FastFire - 0 (v0029)
25-01-2016 20:48:13 infiSTAR.de | Bayley(76561198037794465) | infiSTAR AI ESP - 1 (v0029)
25-01-2016 20:48:15 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0029)
25-01-2016 20:48:17 infiSTAR.de | Bayley(76561198037794465) | Teleport In Facing Direction (10m steps) - 1 (v0029)
25-01-2016 20:48:19 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0029)
25-01-2016 20:48:20 infiSTAR.de | Bayley(76561198037794465) | Vehicle God Mode - 1 (v0029)
25-01-2016 20:48:25 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 1 (v0029)
25-01-2016 20:50:22 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 20:50:51 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 1 (v0029)
25-01-2016 20:50:52 infiSTAR.de | De Gone(76561198057838365) | infiSTAR MapIcons - 1 (v0029)
25-01-2016 20:50:53 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
25-01-2016 20:50:54 infiSTAR.de | De Gone(76561198057838365) | God Mode - 1 (v0029)
25-01-2016 20:51:00 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - JrodKoola [GUER (R Whale's Revenge)](76561198012332648) (v0029)
25-01-2016 20:51:00 infiSTAR.de | De Gone(76561198057838365) | Teleport to [19577.8,19218,0](GPS: 195294) (v0029)
25-01-2016 20:51:03 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - JrodKoola [GUER (R Whale's Revenge)](76561198012332648) (v0029)
25-01-2016 20:51:04 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - JrodKoola [GUER (R Whale's Revenge)](76561198012332648) (v0029)
25-01-2016 20:52:08 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19539.8,19217.6,0](GPS: 195294) (v0029)
25-01-2016 20:52:14 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
25-01-2016 20:52:15 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
25-01-2016 20:52:17 infiSTAR.de | Double A.(76561198069335401) | Teleport In Facing Direction (10m steps) - 1 (v0029)
25-01-2016 20:53:47 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
25-01-2016 20:54:20 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
25-01-2016 20:54:21 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0029)
25-01-2016 20:54:53 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 20:55:13 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 0 (v0029)
25-01-2016 20:56:02 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Money - Matt Kesler [GUER](76561198079447101) (v0029)
25-01-2016 20:56:03 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Matt Kesler [GUER](76561198079447101) (v0029)
25-01-2016 20:56:20 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Matt Kesler [GUER](76561198079447101) (v0029)
25-01-2016 20:57:35 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - (76561198057838365) (v0029)
25-01-2016 20:57:48 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 0 (v0029)
25-01-2016 20:58:00 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Player ESP - 1 (v0029)
25-01-2016 20:58:44 infiSTAR.de | De Gone(76561198057838365) | infiSTAR Player ESP - 0 (v0029)
25-01-2016 21:00:24 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Matt Kesler [GUER](76561198079447101) (v0029)
25-01-2016 21:00:24 infiSTAR.de | Bayley(76561198037794465) | Teleported Matt Kesler(76561198079447101) from [9122.17,9184.98,0.00125122](091194) to [9122.17,9184.98,0.00125122](091194)  (0m) (v0029)
25-01-2016 21:00:47 infiSTAR.de | Bayley(76561198037794465) | spawning Offroad (Exile_Car_Offroad_Red) (v0029)
25-01-2016 21:01:52 infiSTAR.de | De Gone(76561198057838365) | spawning AR-2 Darter (I_UAV_01_F) (v0029)
25-01-2016 21:02:05 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 21:02:38 infiSTAR.de | De Gone(76561198057838365) | spawning AR-2 Darter (I_UAV_01_F) (v0029)
25-01-2016 21:04:06 infiSTAR.de | De Gone(76561198057838365) | Deleting GroundWeaponHolder @196294.. (v0029)
25-01-2016 21:06:38 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 21:08:04 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 21:08:05 infiSTAR.de | Bayley(76561198037794465) | SPECTATE - switchedCamera on JrodKoola(76561198012332648) (v0029)
25-01-2016 21:09:58 infiSTAR.de | Bayley(76561198037794465) | infiSTAR MapIcons - 1 (v0029)
25-01-2016 21:14:32 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - ThaQtipWilson [CIV](76561198067553578) (v0029)
25-01-2016 21:14:56 infiSTAR.de | Bayley(76561198037794465) | Heal - R Bravo 4-3:1 (ThaQtipWilson) REMOTE(76561198067553578) (v0029)
25-01-2016 21:15:41 infiSTAR.de | Bayley(76561198037794465) | Stealth / Invisible - 1 (v0029)
25-01-2016 21:15:49 infiSTAR.de | Bayley(76561198037794465) | Teleport to [10946.5,16686,0](GPS: 109269) (v0029)
25-01-2016 21:15:54 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
25-01-2016 21:15:58 infiSTAR.de | Double A.(76561198069335401) | Vehicle God Mode - 1 (v0029)
25-01-2016 21:15:59 infiSTAR.de | Double A.(76561198069335401) | infiSTAR Player ESP - 1 (v0029)
25-01-2016 21:16:00 infiSTAR.de | Double A.(76561198069335401) | infiSTAR MapIcons - 1 (v0029)
