24-01-2016 18:57:03 infiSTAR.de | Falcon911(76561197974470549) | Spawning 7.62 mm 20Rnd Mag (20Rnd_762x51_Mag) on Falcon911! (v0029)
24-01-2016 18:57:19 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @193229.. (v0029)
24-01-2016 18:57:20 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @193229.. (v0029)
24-01-2016 18:57:31 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [3660.84,11759.6,0](GPS: 036219) (v0029)
24-01-2016 18:58:24 infiSTAR.de | Double A.(76561198069335401) | Deleting GroundWeaponHolder @193229.. (v0029)
24-01-2016 18:58:26 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
24-01-2016 18:58:29 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Mag. (red) (CUP_20Rnd_TE1_Red_Tracer_762x51_SCAR) on Double A.! (v0029)
24-01-2016 18:58:30 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Mag. (red) (CUP_20Rnd_TE1_Red_Tracer_762x51_SCAR) on Double A.! (v0029)
24-01-2016 18:58:45 infiSTAR.de | Double A.(76561198069335401) | Spawning AN/PEQ-15 Laser (CUP_acc_ANPEQ_15) on the ground infront of Double A.! (v0029)
24-01-2016 18:59:09 infiSTAR.de | Double A.(76561198069335401) | Teleport to [18133.2,12983.4,0](GPS: 181232) (v0029)
24-01-2016 18:59:54 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19645.3,12727.2,0](GPS: 196229) (v0029)
24-01-2016 19:01:25 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Silencer (CUP_muzzle_snds_SCAR_H) on Double A.! (v0029)
24-01-2016 19:02:25 infiSTAR.de | Double A.(76561198069335401) |  (v0029)
24-01-2016 19:02:28 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Mag. (red) (CUP_20Rnd_TE1_Red_Tracer_762x51_SCAR) on Double A.! (v0029)
24-01-2016 19:02:29 infiSTAR.de | Double A.(76561198069335401) | Spawning Mk17 Mag. (red) (CUP_20Rnd_TE1_Red_Tracer_762x51_SCAR) on Double A.! (v0029)
24-01-2016 19:02:49 infiSTAR.de | Double A.(76561198069335401) | Spawning Bipod (Sand) [NATO] (bipod_01_F_snd) on Double A.! (v0029)
24-01-2016 19:03:41 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2597.24,12123.7,0](GPS: 025223) (v0029)
24-01-2016 19:04:00 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Grenade (HandGrenade) on Double A.! (v0029)
24-01-2016 19:04:02 infiSTAR.de | Double A.(76561198069335401) | Spawning RGO Grenade (HandGrenade) on Double A.! (v0029)
24-01-2016 19:04:29 infiSTAR.de | Double A.(76561198069335401) | Spawning Explosive Satchel (SatchelCharge_Remote_Mag) on Double A.! (v0029)
24-01-2016 19:04:42 infiSTAR.de | Double A.(76561198069335401) | Flag Marker (with radius) - 1 (v0029)
24-01-2016 19:04:43 infiSTAR.de | Double A.(76561198069335401) | Vehicle Marker - 1 (v0029)
