17-01-2016 13:39:37 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [12400.2,4421.88,0](GPS: 124146) (v0027A)
17-01-2016 13:40:04 infiSTAR.de | De Gone(76561198057838365) | Teleport to [18164.8,19054.1,0](GPS: 181292) (v0027A)
17-01-2016 13:40:17 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 Launcher (CUP_launch_M136) on De Gone! (v0027A)
17-01-2016 13:40:30 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 (CUP_M136_M) on De Gone! (v0027A)
17-01-2016 13:40:52 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
17-01-2016 13:41:07 infiSTAR.de | King Heavy(76561197991198861) | Restore - R King Heavy's Party:1 (King Heavy)(76561197991198861) (v0027A)
17-01-2016 13:41:40 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_T55_TK @181292.. (v0027A)
17-01-2016 13:41:51 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [12164.6,6578.38,0](GPS: 121168) (v0027A)
17-01-2016 13:41:51 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 (CUP_M136_M) on De Gone! (v0027A)
17-01-2016 13:42:11 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
17-01-2016 13:42:47 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_T55_TK @181292.. (v0027A)
17-01-2016 13:42:58 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
17-01-2016 13:43:13 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
17-01-2016 13:43:25 infiSTAR.de | De Gone(76561198057838365) | spawning T-55 (CUP_O_T55_TK) (v0027A)
17-01-2016 13:43:36 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 (CUP_M136_M) on De Gone! (v0027A)
17-01-2016 13:44:08 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 (CUP_M136_M) on De Gone! (v0027A)
17-01-2016 13:44:12 infiSTAR.de | JerkinMerkin(76561198065631549) | infiSTAR MapIcons - 1 (v0027A)
17-01-2016 13:44:40 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_T55_TK @181292.. (v0027A)
17-01-2016 13:44:47 infiSTAR.de | De Gone(76561198057838365) | Spawning M136 (CUP_M136_M) on De Gone! (v0027A)
17-01-2016 13:44:50 infiSTAR.de | JerkinMerkin(76561198065631549) | God Mode - 1 (v0027A)
17-01-2016 13:45:06 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport to [19413.2,19193.9,0](GPS: 194294) (v0027A)
17-01-2016 13:45:12 infiSTAR.de | De Gone(76561198057838365) | Deleting CUP_O_T55_TK @181292.. (v0027A)
17-01-2016 13:45:24 infiSTAR.de | JerkinMerkin(76561198065631549) | Teleport - Target To Me - Maybe_Crazy [GUER](76561198144142868) (v0027A)
