27-01-2016 21:27:52 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16366.6,5159.81,0](GPS: 163153) (v0029)
27-01-2016 21:29:48 infiSTAR.de | Bayley(76561198037794465) | God Mode - 1 (v0029)
27-01-2016 21:29:49 infiSTAR.de | Bayley(76561198037794465) | Vehicle God Mode - 1 (v0029)
27-01-2016 21:29:50 infiSTAR.de | Bayley(76561198037794465) | UnlimAmmo - 1 (v0029)
27-01-2016 21:29:51 infiSTAR.de | Bayley(76561198037794465) | noRecoil - 1 (v0029)
27-01-2016 21:29:52 infiSTAR.de | Bayley(76561198037794465) | FastFire - 1 (v0029)
27-01-2016 21:29:53 infiSTAR.de | Bayley(76561198037794465) | Teleport In Facing Direction (10m steps) - 1 (v0029)
27-01-2016 21:29:56 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Player ESP - 1 (v0029)
27-01-2016 21:29:58 infiSTAR.de | Bayley(76561198037794465) | infiSTAR AI ESP - 1 (v0029)
27-01-2016 21:30:02 infiSTAR.de | Bayley(76561198037794465) | infiSTAR MapIcons - 1 (v0029)
27-01-2016 21:30:09 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Ghost [GUER](76561198067400347) (v0029)
27-01-2016 21:30:21 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Construction_Flag_Static @134152.. (v0029)
27-01-2016 21:30:26 infiSTAR.de | Bayley(76561198037794465) | Deleting GroundWeaponHolder @134152.. (v0029)
27-01-2016 21:31:57 infiSTAR.de | Bayley(76561198037794465) | Deleting B_G_Soldier_AR_F @145163.. (v0029)
27-01-2016 21:32:05 infiSTAR.de | Bayley(76561198037794465) | Deleting B_G_Soldier_AR_F @145163.. (v0029)
27-01-2016 21:32:15 infiSTAR.de | Bayley(76561198037794465) | Add / Remove Respect - Ghost [GUER](76561198067400347) (v0029)
27-01-2016 21:32:22 infiSTAR.de | De Gone(76561198057838365) | Teleport to [14536.6,6146.24,0](GPS: 145163) (v0029)
27-01-2016 21:32:54 infiSTAR.de | De Gone(76561198057838365) | Deleting B_G_Soldier_AR_F @145163.. (v0029)
27-01-2016 21:33:25 infiSTAR.de | De Gone(76561198057838365) | Teleport to [13471.5,5046.98,0](GPS: 134152) (v0029)
27-01-2016 21:36:11 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Ghost(76561198067400347) (v0029)
27-01-2016 21:36:14 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Respect - Ghost [GUER](76561198067400347) (v0029)
27-01-2016 21:37:12 infiSTAR.de | Bayley(76561198037794465) | infiSTAR Dead ESP - 1 (v0029)
27-01-2016 21:37:19 infiSTAR.de | De Gone(76561198057838365) | Teleport to [16370,5159.92,0](GPS: 163153) (v0029)
27-01-2016 21:38:04 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on AlphaVirus(76561198082373256) (v0029)
27-01-2016 21:38:06 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - AlphaVirus [GUER (R Uranium Potatoes)](76561198082373256) (v0029)
27-01-2016 21:38:16 infiSTAR.de | Bayley(76561198037794465) | Teleport to [15920.3,14094.7,0](GPS: 159243) (v0029)
27-01-2016 21:38:35 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on AlphaVirus(76561198082373256) (v0029)
27-01-2016 21:40:41 infiSTAR.de | Bayley(76561198037794465) | Teleport to [16025.6,12886.4,0](GPS: 160231) (v0029)
27-01-2016 21:41:21 infiSTAR.de | Double A.(76561198069335401) | God Mode - 1 (v0029)
27-01-2016 21:41:21 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
27-01-2016 21:41:55 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - usmc1775 [GUER](76561198149438973) (v0029)
27-01-2016 21:41:56 infiSTAR.de | Double A.(76561198069335401) | Teleported usmc1775(76561198149438973) from [5834.41,19626.4,0.0019989](058298) to [5834.41,19626.4,0.0019989](058298)  (0m) (v0029)
27-01-2016 21:41:56 infiSTAR.de | Double A.(76561198069335401) | Teleport - Target To Me - usmc1775 [GUER](76561198149438973) (v0029)
27-01-2016 21:41:57 infiSTAR.de | Double A.(76561198069335401) | Teleported usmc1775(76561198149438973) from [7020.18,5663.43,12.2395](070159) to [7020.18,5663.43,12.2395](070159)  (0m) (v0029)
27-01-2016 21:42:11 infiSTAR.de | Bayley(76561198037794465) | Teleport to [8760.36,14711.7,0](GPS: 087249) (v0029)
27-01-2016 21:42:35 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
