22-01-2016 22:50:50 infiSTAR.de | De Gone(76561198057838365) | Teleport to [8330.08,19802.9,0](GPS: 083300) (v0027A)
22-01-2016 22:51:03 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on Katana(76561197982462238) (v0027A)
22-01-2016 22:51:10 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - (76561197982462238) (v0027A)
22-01-2016 22:51:11 infiSTAR.de | De Gone(76561198057838365) | Teleported Katana(76561197982462238) from [8333.65,19808,0.21787](083300) to [8333.65,19808,0.21787](083300)  (0m) (v0027A)
22-01-2016 22:51:11 infiSTAR.de | De Gone(76561198057838365) | Teleport - Target To Me - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
22-01-2016 22:51:12 infiSTAR.de | De Gone(76561198057838365) | Teleported Katana(76561197982462238) from [8326.83,19809,0.00144243](083300) to [8326.83,19809,0.00144243](083300)  (0m) (v0027A)
22-01-2016 22:51:12 infiSTAR.de | 7=Temp(76561198133523234) | Teleport - Me To Target - Katana [GUER (R Fortune Hunters)](76561197982462238) (v0027A)
22-01-2016 22:51:24 infiSTAR.de | De Gone(76561198057838365) | Stealth / Invisible - 1 (v0027A)
22-01-2016 22:51:25 infiSTAR.de | 7=Temp(76561198133523234) | Stealth / Invisible - 0 (v0027A)
22-01-2016 22:51:29 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10917.3,6996.18,0](GPS: 109172) (v0027A)
22-01-2016 22:52:01 infiSTAR.de | De Gone(76561198057838365) | Mass Message: The Hill is still contested! (v0027A)
22-01-2016 22:52:28 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10587.1,6900.38,0](GPS: 105171) (v0027A)
22-01-2016 22:53:02 infiSTAR.de | De Gone(76561198057838365) | Teleport to [8356.39,19805.3,0](GPS: 083300) (v0027A)
22-01-2016 22:53:17 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on OMEGA™(76561197974809837) (v0027A)
22-01-2016 22:53:17 infiSTAR.de | 7=Temp(76561198133523234) | spawning UH-60M (FFV) (CUP_B_UH60M_FFV_US) (v0027A)
22-01-2016 22:54:35 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10641.7,6926.35,0](GPS: 106171) (v0027A)
22-01-2016 22:54:38 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10727.5,6934.8,0](GPS: 107171) (v0027A)
22-01-2016 22:54:40 infiSTAR.de | De Gone(76561198057838365) | Teleport to [10894.4,6954.39,0](GPS: 108171) (v0027A)
22-01-2016 22:55:13 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Hill still contested! No pop tabs given! (v0027A)
22-01-2016 22:55:59 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Hill Contested! (v0027A)
22-01-2016 22:56:32 infiSTAR.de | De Gone(76561198057838365) | Mass Message: Hill taken! (v0027A)
22-01-2016 22:57:40 infiSTAR.de | Falcon911(76561197974470549) | SPECTATE - switchedCamera on Falcon911(76561197974470549) (v0027A)
22-01-2016 22:57:52 infiSTAR.de | 7=Temp(76561198133523234) | Deleting CUP_B_UH60M_FFV_US @086196.. (v0027A)
22-01-2016 22:58:05 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8572.01,19657.7,0](GPS: 085298) (v0027A)
22-01-2016 22:58:07 infiSTAR.de | 7=Temp(76561198133523234) | Teleport to [8527.65,19681.3,0](GPS: 085299) (v0027A)
22-01-2016 22:59:19 infiSTAR.de | Falcon911(76561197974470549) | Mass Message: hill taken (v0027A)
22-01-2016 23:00:05 infiSTAR.de | De Gone(76561198057838365) | SPECTATE - switchedCamera on AlphaVirus(76561198082373256) (v0027A)
22-01-2016 23:00:09 infiSTAR.de | De Gone(76561198057838365) | Add / Remove Money - AlphaVirus [GUER (R Uranium Potatoes)](76561198082373256) (v0027A)
22-01-2016 23:03:15 infiSTAR.de | 7=Temp(76561198133523234) | Spawning Steerable Parachute (B_Parachute) on 7=Temp! (v0027A)
