12-01-2016 01:34:03 infiSTAR.de | Bayley(76561198037794465) | Teleported IrwiniHoudini(76561198045579088) from [1242.48,14762.6,-0.0431519](012250) to [1242.48,14762.6,-0.0431519](012250)  (0m) (v0027A)
12-01-2016 01:34:19 infiSTAR.de | Bayley(76561198037794465) | Deleting GroundWeaponHolder @012250.. (v0027A)
12-01-2016 01:34:38 infiSTAR.de | Bayley(76561198037794465) | spawning HEMMT (Transport) (Exile_Car_HEMMT) (v0027A)
12-01-2016 01:38:16 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - IrwiniHoudini [GUER](76561198045579088) (v0027A)
12-01-2016 01:38:17 infiSTAR.de | Bayley(76561198037794465) | Teleported IrwiniHoudini(76561198045579088) from [4593.39,13757,0.00143909](045239) to [4593.39,13757,0.00143909](045239)  (0m) (v0027A)
12-01-2016 01:39:44 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0027A)
12-01-2016 01:39:45 infiSTAR.de | Bayley(76561198037794465) | Spawning RPG-7V Launcher (CUP_launch_RPG7V) on the ground infront of Bayley! (v0027A)
12-01-2016 01:40:31 infiSTAR.de | Bayley(76561198037794465) | spawning Quad Bike (Exile_Bike_QuadBike_Black) (v0027A)
12-01-2016 01:41:10 infiSTAR.de | Bayley(76561198037794465) | Spawning Safe Kit (Exile_Item_SafeKit) on the ground infront of Bayley! (v0027A)
12-01-2016 01:41:18 infiSTAR.de | Bayley(76561198037794465) | Spawning Code Lock (Exile_Item_Codelock) on the ground infront of Bayley! (v0027A)
12-01-2016 01:41:52 infiSTAR.de | Bayley(76561198037794465) | Deleting Exile_Car_Zamak @012249.. (v0027A)
12-01-2016 01:42:32 infiSTAR.de | Bayley(76561198037794465) | Teleport to [16020,12877.6,0](GPS: 160231) (v0027A)
12-01-2016 01:42:55 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Fodder Zachary [GUER (R FodderZachary)](76561198121724829) (v0027A)
12-01-2016 01:45:45 infiSTAR.de | Bayley(76561198037794465) | Teleport - Me To Target - Fodder Zachary [GUER (R FodderZachary)](76561198121724829) (v0027A)
12-01-2016 01:48:12 infiSTAR.de | Bayley(76561198037794465) | spawning Quad Bike (Exile_Bike_QuadBike_Black) (v0027A)
12-01-2016 01:50:14 infiSTAR.de | Bayley(76561198037794465) | Teleport to [13197.6,10156.5,0](GPS: 131203) (v0027A)
12-01-2016 01:53:50 infiSTAR.de | Bayley(76561198037794465) | Teleport - Target To Me - Brotha Grimm [GUER](76561198161195934) (v0027A)
12-01-2016 01:53:50 infiSTAR.de | Bayley(76561198037794465) | Teleported Brotha Grimm(76561198161195934) from [10287.9,9894.98,0.0014267](102201) to [10287.9,9894.98,0.0014267](102201)  (0m) (v0027A)
12-01-2016 01:58:45 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:45 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:46 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:46 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:47 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
12-01-2016 01:58:48 infiSTAR.de | Bayley(76561198037794465) | Spawning Dog Food (Cooked) (Exile_Item_DogFood_Cooked) on the ground infront of Bayley! (v0027A)
