11-01-2016 14:28:02 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:28:03 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:28:04 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:28:04 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:28:05 infiSTAR.de | King Heavy(76561197991198861) | Spawning STANAG Mag (SPR) 5.56mm (hlc_30rnd_556x45_SPR) on King Heavy! (v0027A)
11-01-2016 14:29:11 infiSTAR.de | King Heavy(76561197991198861) | Spawning Metis AT-13 (CUP_launch_Metis) on King Heavy! (v0027A)
11-01-2016 14:29:31 infiSTAR.de | King Heavy(76561197991198861) | Deleting Exile_Loot_XmasPresent_Blue @119182.. (v0027A)
11-01-2016 14:29:48 infiSTAR.de | King Heavy(76561197991198861) | Spawning Metis-M 9K115-2 (CUP_AT13_M) on King Heavy! (v0027A)
11-01-2016 14:30:16 infiSTAR.de | Ford(76561198068372718) | HealSelf (v0027A)
11-01-2016 14:30:16 infiSTAR.de | Ford(76561198068372718) | HealRepairNear (v0027A)
11-01-2016 14:30:31 infiSTAR.de | Ford(76561198068372718) | Teleport - Me To Target - Doug [GUER (R Doug's Party)](76561198063909619) (v0027A)
11-01-2016 14:31:02 infiSTAR.de | Ford(76561198068372718) | Teleport to [11946,7974.36,0](GPS: 119182) (v0027A)
11-01-2016 14:33:05 infiSTAR.de | Ford(76561198068372718) | Mass Message: A well stocked military outpost has been setup on the map, and it is reported there is an armed gunship.  (v0027A)
11-01-2016 14:33:50 infiSTAR.de | Ford(76561198068372718) | Mass Message: Who ever holds it at the end of the hour will get the code to the gunship. Any form of artillery will get banned. (v0027A)
11-01-2016 14:34:50 infiSTAR.de | Ford(76561198068372718) | Teleport to [1487.54,1240.61,0](GPS: 014114) (v0027A)
11-01-2016 14:34:56 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 1 (v0027A)
11-01-2016 14:35:07 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 0 (v0027A)
11-01-2016 14:35:07 infiSTAR.de | King Heavy(76561197991198861) | Stealth / Invisible - 1 (v0027A)
11-01-2016 14:35:13 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11969.5,8011.66,0](GPS: 119182) (v0027A)
11-01-2016 14:35:28 infiSTAR.de | King Heavy(76561197991198861) | Teleport to [11936.7,7983.2,0](GPS: 119182) (v0027A)
11-01-2016 14:35:51 infiSTAR.de | Ford(76561198068372718) | Teleport to [11914.2,7949.49,0](GPS: 119181) (v0027A)
11-01-2016 14:36:17 infiSTAR.de | Ford(76561198068372718) | Teleport to [1509.51,1260.61,0](GPS: 015115) (v0027A)
11-01-2016 14:36:35 infiSTAR.de | King Heavy(76561197991198861) | Vehicle God Mode - 1 (v0027A)
